Year,race,sex,Arrest type,Juvenile indicator,Total Arrests,Population,"Arrests per 100,000"
1997,Black,Female,Felony - Violent/Sex,0,5695,779353.3057,730.7341
1998,Black,Female,Felony - Violent/Sex,0,5493,782257.1943,702.1987
1999,Black,Female,Felony - Violent/Sex,0,5188,785161.1055,660.7561
2000,Black,Female,Felony - Violent/Sex,0,4924,788065,624.8215
2001,Black,Female,Felony - Violent/Sex,0,4998,766520,652.0378
2002,Black,Female,Felony - Violent/Sex,0,4806,778419,617.4053
2003,Black,Female,Felony - Violent/Sex,0,4857,790708,614.2596
2004,Black,Female,Felony - Violent/Sex,0,4667,793090,588.4578
2005,Black,Female,Felony - Violent/Sex,0,4582,789310,580.507
2006,Black,Female,Felony - Violent/Sex,0,4634,821712,563.9445
2007,Black,Female,Felony - Violent/Sex,0,4910,827845,593.1062
2008,Black,Female,Felony - Violent/Sex,0,5058,836978,604.317
2009,Black,Female,Felony - Violent/Sex,0,4839,831915,581.67
2010,Black,Female,Felony - Violent/Sex,0,4764,841921,565.8488
2011,Black,Female,Felony - Violent/Sex,0,4515,846095,533.628
2012,Black,Female,Felony - Violent/Sex,0,4555,848330,536.9373
2013,Black,Female,Felony - Violent/Sex,0,4520,864286,522.975
1980,Black,Female,Misdemeanor,0,24439,622940,3923.171
1981,Black,Female,Misdemeanor,0,27762,636548.6025,4361.333
1982,Black,Female,Misdemeanor,0,30199,650157.2012,4644.876
1983,Black,Female,Misdemeanor,0,34504,663765.7969,5198.219
1984,Black,Female,Misdemeanor,0,35212,677374.3975,5198.307
1985,Black,Female,Misdemeanor,0,35238,690983,5099.691
1986,Black,Female,Misdemeanor,0,35358,704591.6025,5018.226
1987,Black,Female,Misdemeanor,0,41002,718200.2051,5708.993
1988,Black,Female,Misdemeanor,0,44559,731808.7949,6088.886
1989,Black,Female,Misdemeanor,0,48776,745417.3975,6543.448
1990,Black,Female,Misdemeanor,0,51049,759026,6725.593
1991,Black,Female,Misdemeanor,0,45102,761929.8965,5919.442
1992,Black,Female,Misdemeanor,0,43566,764833.8076,5696.14
1993,Black,Female,Misdemeanor,0,41689,767737.6924,5430.11
1994,Black,Female,Misdemeanor,0,42300,770641.6074,5488.933
1995,Black,Female,Misdemeanor,0,38580,773545.5,4987.425
1996,Black,Female,Misdemeanor,0,41691,776449.3945,5369.442
1997,Black,Female,Misdemeanor,0,41394,779353.3057,5311.327
1998,Black,Female,Misdemeanor,0,38935,782257.1943,4977.263
1999,Black,Female,Misdemeanor,0,36681,785161.1055,4671.78
2000,Black,Female,Misdemeanor,0,33150,788065,4206.506
2001,Black,Female,Misdemeanor,0,33462,766520,4365.444
2002,Black,Female,Misdemeanor,0,33173,778419,4261.586
2003,Black,Female,Misdemeanor,0,35178,790708,4448.924
2004,Black,Female,Misdemeanor,0,38238,793090,4821.395
2005,Black,Female,Misdemeanor,0,37189,789310,4711.583
2006,Black,Female,Misdemeanor,0,37769,821712,4596.379
2007,Black,Female,Misdemeanor,0,38970,827845,4707.403
2008,Black,Female,Misdemeanor,0,42590,836978,5088.545
2009,Black,Female,Misdemeanor,0,42315,831915,5086.457
2010,Black,Female,Misdemeanor,0,41008,841921,4870.766
2011,Black,Female,Misdemeanor,0,39045,846095,4614.73
2012,Black,Female,Misdemeanor,0,36850,848330,4343.829
2013,Black,Female,Misdemeanor,0,36428,864286,4214.809
1980,Black,Female,Status,0,0,622940,0
1981,Black,Female,Status,0,0,636548.6025,0
1982,Black,Female,Status,0,0,650157.2012,0
1983,Black,Female,Status,0,0,663765.7969,0
1984,Black,Female,Status,0,0,677374.3975,0
1985,Black,Female,Status,0,0,690983,0
1986,Black,Female,Status,0,0,704591.6025,0
1987,Black,Female,Status,0,0,718200.2051,0
1988,Black,Female,Status,0,0,731808.7949,0
1989,Black,Female,Status,0,0,745417.3975,0
1990,Black,Female,Status,0,0,759026,0
1991,Black,Female,Status,0,0,761929.8965,0
1992,Black,Female,Status,0,0,764833.8076,0
1993,Black,Female,Status,0,0,767737.6924,0
1994,Black,Female,Status,0,0,770641.6074,0
1995,Black,Female,Status,0,0,773545.5,0
1996,Black,Female,Status,0,0,776449.3945,0
1997,Black,Female,Status,0,0,779353.3057,0
1998,Black,Female,Status,0,0,782257.1943,0
1999,Black,Female,Status,0,0,785161.1055,0
2000,Black,Female,Status,0,0,788065,0
2001,Black,Female,Status,0,0,766520,0
2002,Black,Female,Status,0,0,778419,0
2003,Black,Female,Status,0,0,790708,0
2004,Black,Female,Status,0,0,793090,0
2005,Black,Female,Status,0,0,789310,0
2006,Black,Female,Status,0,0,821712,0
2007,Black,Female,Status,0,0,827845,0
2008,Black,Female,Status,0,0,836978,0
2009,Black,Female,Status,0,0,831915,0
2010,Black,Female,Status,0,0,841921,0
2011,Black,Female,Status,0,0,846095,0
2012,Black,Female,Status,0,0,848330,0
2013,Black,Female,Status,0,0,864286,0
1980,Black,Male,All Combined,0,218469,569280,38376.37
1981,Black,Male,All Combined,0,236847,584515.6021,40520.22
1982,Black,Male,All Combined,0,240074,599751.1992,40028.93
1983,Black,Male,All Combined,0,253003,614986.8008,41139.58
1984,Black,Male,All Combined,0,254589,630222.3979,40396.69
1985,Black,Male,All Combined,0,261355,645458,40491.4
1986,Black,Male,All Combined,0,267218,660693.6016,40445.07
1987,Black,Male,All Combined,0,295769,675929.1992,43757.39
1988,Black,Male,All Combined,0,320087,691164.8008,46311.24
1989,Black,Male,All Combined,0,326785,706400.4004,46260.59
1990,Black,Male,All Combined,0,314159,721636,43534.27
1991,Black,Male,All Combined,0,278856,722609.2012,38590.15
1992,Black,Male,All Combined,0,265365,723582.4072,36673.78
1993,Black,Male,All Combined,0,247323,724555.5928,34134.44
1994,Black,Male,All Combined,0,241394,725528.8008,33271.46
1995,Black,Male,All Combined,0,211230,726502,29074.94
1996,Black,Male,All Combined,0,229678,727475.1992,31571.94
1997,Black,Male,All Combined,0,226561,728448.4053,31101.86
1998,Black,Male,All Combined,0,221371,729421.5947,30348.84
1999,Black,Male,All Combined,0,210209,730394.7988,28780.19
2000,Black,Male,All Combined,0,196080,731368,26810.03
2001,Black,Male,All Combined,0,195632,634390,30837.81
2002,Black,Male,All Combined,0,197328,639069,30877.42
2003,Black,Male,All Combined,0,202855,671920,30190.35
2004,Black,Male,All Combined,0,209339,676060,30964.56
2005,Black,Male,All Combined,0,206356,679713,30359.28
2006,Black,Male,All Combined,0,209753,769862,27245.53
2007,Black,Male,All Combined,0,212856,785972,27081.88
2008,Black,Male,All Combined,0,219042,794929,27554.91
2009,Black,Male,All Combined,0,207793,785113,26466.64
2010,Black,Male,All Combined,0,192719,797911,24152.95
2011,Black,Male,All Combined,0,178249,801497,22239.51
2012,Black,Male,All Combined,0,176826,814835,21700.84
2013,Black,Male,All Combined,0,171155,818187,20918.81
1980,Black,Male,Felony - Drug,0,15230,569280,2675.309
1981,Black,Male,Felony - Drug,0,15329,584515.6021,2622.513
1982,Black,Male,Felony - Drug,0,15169,599751.1992,2529.215
1983,Black,Male,Felony - Drug,0,18540,614986.8008,3014.699
1984,Black,Male,Felony - Drug,0,22576,630222.3979,3582.228
1985,Black,Male,Felony - Drug,0,27394,645458,4244.118
1986,Black,Male,Felony - Drug,0,35118,660693.6016,5315.323
1987,Black,Male,Felony - Drug,0,38525,675929.1992,5699.562
1988,Black,Male,Felony - Drug,0,47953,691164.8008,6937.998
1989,Black,Male,Felony - Drug,0,46579,706400.4004,6593.853
1990,Black,Male,Felony - Drug,0,34439,721636,4772.351
1991,Black,Male,Felony - Drug,0,28625,722609.2012,3961.339
1992,Black,Male,Felony - Drug,0,27800,723582.4072,3841.995
1993,Black,Male,Felony - Drug,0,24286,724555.5928,3351.848
1994,Black,Male,Felony - Drug,0,25972,725528.8008,3579.734
1995,Black,Male,Felony - Drug,0,20164,726502,2775.491
1996,Black,Male,Felony - Drug,0,23914,727475.1992,3287.26
1997,Black,Male,Felony - Drug,0,24829,728448.4053,3408.478
1998,Black,Male,Felony - Drug,0,25911,729421.5947,3552.267
1999,Black,Male,Felony - Drug,0,24833,730394.7988,3399.942
2000,Black,Male,Felony - Drug,0,22491,731368,3075.196
2001,Black,Male,Felony - Drug,0,21170,634390,3337.064
2002,Black,Male,Felony - Drug,0,22811,639069,3569.411
2003,Black,Male,Felony - Drug,0,24125,671920,3590.457
2004,Black,Male,Felony - Drug,0,26522,676060,3923.025
2005,Black,Male,Felony - Drug,0,27382,679713,4028.465
2006,Black,Male,Felony - Drug,0,27953,769862,3630.91
2007,Black,Male,Felony - Drug,0,27049,785972,3441.471
2008,Black,Male,Felony - Drug,0,25447,794929,3201.167
2009,Black,Male,Felony - Drug,0,20434,785113,2602.683
2010,Black,Male,Felony - Drug,0,17285,797911,2166.282
2011,Black,Male,Felony - Drug,0,14901,801497,1859.146
2012,Black,Male,Felony - Drug,0,14635,814835,1796.069
2013,Black,Male,Felony - Drug,0,15734,818187,1923.032
1980,Black,Male,Felony - Other,0,8319,569280,1461.32
1981,Black,Male,Felony - Other,0,9698,584515.6021,1659.152
1982,Black,Male,Felony - Other,0,11230,599751.1992,1872.443
1983,Black,Male,Felony - Other,0,10025,614986.8008,1630.116
1984,Black,Male,Felony - Other,0,9355,630222.3979,1484.397
1985,Black,Male,Felony - Other,0,9146,645458,1416.978
1986,Black,Male,Felony - Other,0,10501,660693.6016,1589.39
1987,Black,Male,Felony - Other,0,14320,675929.1992,2118.565
1988,Black,Male,Felony - Other,0,18271,691164.8008,2643.509
1989,Black,Male,Felony - Other,0,19586,706400.4004,2772.648
1990,Black,Male,Felony - Other,0,19789,721636,2742.241
1991,Black,Male,Felony - Other,0,19220,722609.2012,2659.806
1992,Black,Male,Felony - Other,0,19993,723582.4072,2763.058
1993,Black,Male,Felony - Other,0,20468,724555.5928,2824.904
1994,Black,Male,Felony - Other,0,20764,725528.8008,2861.913
1995,Black,Male,Felony - Other,0,17622,726502,2425.595
1996,Black,Male,Felony - Other,0,21602,727475.1992,2969.448
1997,Black,Male,Felony - Other,0,22027,728448.4053,3023.824
1998,Black,Male,Felony - Other,0,21184,729421.5947,2904.219
1999,Black,Male,Felony - Other,0,20900,730394.7988,2861.466
2000,Black,Male,Felony - Other,0,21279,731368,2909.479
2001,Black,Male,Felony - Other,0,22107,634390,3484.765
2002,Black,Male,Felony - Other,0,23657,639069,3701.791
2003,Black,Male,Felony - Other,0,23971,671920,3567.538
2004,Black,Male,Felony - Other,0,24490,676060,3622.459
2005,Black,Male,Felony - Other,0,25998,679713,3824.85
2006,Black,Male,Felony - Other,0,26086,769862,3388.399
2007,Black,Male,Felony - Other,0,26641,785972,3389.561
2008,Black,Male,Felony - Other,0,28547,794929,3591.138
2009,Black,Male,Felony - Other,0,26018,785113,3313.918
2010,Black,Male,Felony - Other,0,24670,797911,3091.823
2011,Black,Male,Felony - Other,0,24569,801497,3065.389
2012,Black,Male,Felony - Other,0,25515,814835,3131.309
2013,Black,Male,Felony - Other,0,24499,818187,2994.303
1980,Black,Male,Felony - Property,0,28397,569280,4988.231
1981,Black,Male,Felony - Property,0,31739,584515.6021,5429.966
1982,Black,Male,Felony - Property,0,32336,599751.1992,5391.569
1983,Black,Male,Felony - Property,0,30819,614986.8008,5011.327
1984,Black,Male,Felony - Property,0,29478,630222.3979,4677.396
1985,Black,Male,Felony - Property,0,31057,645458,4811.622
1986,Black,Male,Felony - Property,0,32195,660693.6016,4872.909
1987,Black,Male,Felony - Property,0,32170,675929.1992,4759.374
1988,Black,Male,Felony - Property,0,35330,691164.8008,5111.661
1989,Black,Male,Felony - Property,0,35968,706400.4004,5091.73
1990,Black,Male,Felony - Property,0,32759,721636,4539.546
1991,Black,Male,Felony - Property,0,29557,722609.2012,4090.316
1992,Black,Male,Felony - Property,0,32189,723582.4072,4448.561
1993,Black,Male,Felony - Property,0,29140,724555.5928,4021.776
1994,Black,Male,Felony - Property,0,26058,725528.8008,3591.587
1995,Black,Male,Felony - Property,0,22336,726502,3074.458
1996,Black,Male,Felony - Property,0,22265,727475.1992,3060.585
1997,Black,Male,Felony - Property,0,20504,728448.4053,2814.75
1998,Black,Male,Felony - Property,0,18310,729421.5947,2510.208
1999,Black,Male,Felony - Property,0,16526,730394.7988,2262.612
2000,Black,Male,Felony - Property,0,15969,731368,2183.443
2001,Black,Male,Felony - Property,0,17006,634390,2680.685
2002,Black,Male,Felony - Property,0,16884,639069,2641.968
2003,Black,Male,Felony - Property,0,16971,671920,2525.747
2004,Black,Male,Felony - Property,0,16929,676060,2504.068
2005,Black,Male,Felony - Property,0,16588,679713,2440.442
2006,Black,Male,Felony - Property,0,15839,769862,2057.382
2007,Black,Male,Felony - Property,0,15660,785972,1992.437
2008,Black,Male,Felony - Property,0,15760,794929,1982.567
2009,Black,Male,Felony - Property,0,14840,785113,1890.174
2010,Black,Male,Felony - Property,0,13782,797911,1727.26
2011,Black,Male,Felony - Property,0,13233,801497,1651.036
2012,Black,Male,Felony - Property,0,14388,814835,1765.756
2013,Black,Male,Felony - Property,0,14077,818187,1720.511
1980,Black,Male,Felony - Violent/Sex,0,20705,569280,3637.05
1981,Black,Male,Felony - Violent/Sex,0,21610,584515.6021,3697.078
1982,Black,Male,Felony - Violent/Sex,0,21701,599751.1992,3618.334
1983,Black,Male,Felony - Violent/Sex,0,20445,614986.8008,3324.462
1984,Black,Male,Felony - Violent/Sex,0,20803,630222.3979,3300.898
1985,Black,Male,Felony - Violent/Sex,0,22211,645458,3441.122
1986,Black,Male,Felony - Violent/Sex,0,26285,660693.6016,3978.395
1987,Black,Male,Felony - Violent/Sex,0,28579,675929.1992,4228.105
1988,Black,Male,Felony - Violent/Sex,0,29700,691164.8008,4297.094
1989,Black,Male,Felony - Violent/Sex,0,31545,706400.4004,4465.598
1990,Black,Male,Felony - Violent/Sex,0,34004,721636,4712.071
1991,Black,Male,Felony - Violent/Sex,0,31455,722609.2012,4352.975
1992,Black,Male,Felony - Violent/Sex,0,31562,723582.4072,4361.908
1993,Black,Male,Felony - Violent/Sex,0,30208,724555.5928,4169.176
1994,Black,Male,Felony - Violent/Sex,0,28254,725528.8008,3894.263
1995,Black,Male,Felony - Violent/Sex,0,26117,726502,3594.897
1996,Black,Male,Felony - Violent/Sex,0,26692,727475.1992,3669.128
1997,Black,Male,Felony - Violent/Sex,0,26716,728448.4053,3667.521
1998,Black,Male,Felony - Violent/Sex,0,24429,729421.5947,3349.092
1999,Black,Male,Felony - Violent/Sex,0,22600,730394.7988,3094.217
2000,Black,Male,Felony - Violent/Sex,0,21316,731368,2914.538
2001,Black,Male,Felony - Violent/Sex,0,21259,634390,3351.093
2002,Black,Male,Felony - Violent/Sex,0,21087,639069,3299.644
2003,Black,Male,Felony - Violent/Sex,0,20986,671920,3123.289
2004,Black,Male,Felony - Violent/Sex,0,20486,676060,3030.204
2005,Black,Male,Felony - Violent/Sex,0,20416,679713,3003.621
2006,Black,Male,Felony - Violent/Sex,0,20471,769862,2659.048
2007,Black,Male,Felony - Violent/Sex,0,20678,785972,2630.883
2008,Black,Male,Felony - Violent/Sex,0,20885,794929,2627.279
2009,Black,Male,Felony - Violent/Sex,0,20286,785113,2583.832
2010,Black,Male,Felony - Violent/Sex,0,18733,797911,2347.756
2011,Black,Male,Felony - Violent/Sex,0,18251,801497,2277.114
2012,Black,Male,Felony - Violent/Sex,0,18294,814835,2245.117
2013,Black,Male,Felony - Violent/Sex,0,17643,818187,2156.353
1980,Black,Male,Misdemeanor,0,145818,569280,25614.46
1981,Black,Male,Misdemeanor,0,158471,584515.6021,27111.51
1982,Black,Male,Misdemeanor,0,159638,599751.1992,26617.37
1983,Black,Male,Misdemeanor,0,173174,614986.8008,28158.98
1984,Black,Male,Misdemeanor,0,172377,630222.3979,27351.77
1985,Black,Male,Misdemeanor,0,171547,645458,26577.56
1986,Black,Male,Misdemeanor,0,163119,660693.6016,24689.05
1987,Black,Male,Misdemeanor,0,182175,675929.1992,26951.79
1988,Black,Male,Misdemeanor,0,188833,691164.8008,27320.98
1989,Black,Male,Misdemeanor,0,193107,706400.4004,27336.76
1990,Black,Male,Misdemeanor,0,193168,721636,26768.07
1991,Black,Male,Misdemeanor,0,169999,722609.2012,23525.72
1992,Black,Male,Misdemeanor,0,153821,723582.4072,21258.26
1993,Black,Male,Misdemeanor,0,143221,724555.5928,19766.74
1994,Black,Male,Misdemeanor,0,140346,725528.8008,19343.96
1995,Black,Male,Misdemeanor,0,124991,726502,17204.49
1996,Black,Male,Misdemeanor,0,135205,727475.1992,18585.51
1997,Black,Male,Misdemeanor,0,132485,728448.4053,18187.29
1998,Black,Male,Misdemeanor,0,131537,729421.5947,18033.05
1999,Black,Male,Misdemeanor,0,125350,730394.7988,17161.95
2000,Black,Male,Misdemeanor,0,115025,731368,15727.38
2001,Black,Male,Misdemeanor,0,114090,634390,17984.21
2002,Black,Male,Misdemeanor,0,112889,639069,17664.6
2003,Black,Male,Misdemeanor,0,116802,671920,17383.32
2004,Black,Male,Misdemeanor,0,120912,676060,17884.8
2005,Black,Male,Misdemeanor,0,115972,679713,17061.91
2006,Black,Male,Misdemeanor,0,119404,769862,15509.79
2007,Black,Male,Misdemeanor,0,122828,785972,15627.53
2008,Black,Male,Misdemeanor,0,128403,794929,16152.76
2009,Black,Male,Misdemeanor,0,126215,785113,16076.03
2010,Black,Male,Misdemeanor,0,118249,797911,14819.82
2011,Black,Male,Misdemeanor,0,107295,801497,13386.83
2012,Black,Male,Misdemeanor,0,103994,814835,12762.58
2013,Black,Male,Misdemeanor,0,99202,818187,12124.61
1980,Black,Male,Status,0,0,569280,0
1981,Black,Male,Status,0,0,584515.6021,0
1982,Black,Male,Status,0,0,599751.1992,0
1983,Black,Male,Status,0,0,614986.8008,0
1984,Black,Male,Status,0,0,630222.3979,0
1985,Black,Male,Status,0,0,645458,0
1986,Black,Male,Status,0,0,660693.6016,0
1987,Black,Male,Status,0,0,675929.1992,0
1988,Black,Male,Status,0,0,691164.8008,0
1989,Black,Male,Status,0,0,706400.4004,0
1990,Black,Male,Status,0,0,721636,0
1991,Black,Male,Status,0,0,722609.2012,0
1992,Black,Male,Status,0,0,723582.4072,0
1993,Black,Male,Status,0,0,724555.5928,0
1994,Black,Male,Status,0,0,725528.8008,0
1995,Black,Male,Status,0,0,726502,0
1996,Black,Male,Status,0,0,727475.1992,0
1997,Black,Male,Status,0,0,728448.4053,0
1998,Black,Male,Status,0,0,729421.5947,0
1999,Black,Male,Status,0,0,730394.7988,0
2000,Black,Male,Status,0,0,731368,0
2001,Black,Male,Status,0,0,634390,0
2002,Black,Male,Status,0,0,639069,0
2003,Black,Male,Status,0,0,671920,0
2004,Black,Male,Status,0,0,676060,0
2005,Black,Male,Status,0,0,679713,0
2006,Black,Male,Status,0,0,769862,0
2007,Black,Male,Status,0,0,785972,0
2008,Black,Male,Status,0,0,794929,0
2009,Black,Male,Status,0,0,785113,0
2010,Black,Male,Status,0,0,797911,0
2011,Black,Male,Status,0,0,801497,0
2012,Black,Male,Status,0,0,814835,0
2013,Black,Male,Status,0,0,818187,0
1980,Hispanic,Both Combined,All Combined,0,364933,2748700,13276.57
1981,Hispanic,Both Combined,All Combined,0,401420,2958595.82,13567.92
1982,Hispanic,Both Combined,All Combined,0,404062,3168491.586,12752.5
1983,Hispanic,Both Combined,All Combined,0,420276,3378387.414,12440.14
1984,Hispanic,Both Combined,All Combined,0,442794,3588283.197,12340
1985,Hispanic,Both Combined,All Combined,0,496685,3798179,13076.92
1986,Hispanic,Both Combined,All Combined,0,540216,4008074.836,13478.19
1987,Hispanic,Both Combined,All Combined,0,565025,4217970.609,13395.66
1988,Hispanic,Both Combined,All Combined,0,611030,4427866.398,13799.65
1989,Hispanic,Both Combined,All Combined,0,682938,4637762.18,14725.59
1990,Hispanic,Both Combined,All Combined,0,708604,4847658,14617.45
1991,Hispanic,Both Combined,All Combined,0,662212,5053505.793,13104.01
1992,Hispanic,Both Combined,All Combined,0,650864,5259353.602,12375.36
1993,Hispanic,Both Combined,All Combined,0,621015,5465201.402,11363.08
1994,Hispanic,Both Combined,All Combined,0,605111,5671049.199,10670.18
1995,Hispanic,Both Combined,All Combined,0,592701,5876897,10085.27
1996,Hispanic,Both Combined,All Combined,0,603998,6082744.793,9929.695
1997,Hispanic,Both Combined,All Combined,0,602684,6288592.582,9583.766
1998,Hispanic,Both Combined,All Combined,0,588828,6494440.426,9066.647
1999,Hispanic,Both Combined,All Combined,0,558986,6700288.211,8342.716
2000,Hispanic,Both Combined,All Combined,0,549494,6906136,7956.605
2001,Hispanic,Both Combined,All Combined,0,552120,7094148,7782.753
2002,Hispanic,Both Combined,All Combined,0,570483,7456387,7650.931
2003,Hispanic,Both Combined,All Combined,0,602476,7668459,7856.546
2004,Hispanic,Both Combined,All Combined,0,635088,7813159,8128.441
2005,Hispanic,Both Combined,All Combined,0,662632,7979937,8303.725
2006,Hispanic,Both Combined,All Combined,0,683771,8482177,8061.268
2007,Hispanic,Both Combined,All Combined,0,692973,8640425,8020.126
2008,Hispanic,Both Combined,All Combined,0,704423,8806071,7999.288
2009,Hispanic,Both Combined,All Combined,0,673834,8945234,7532.883
2010,Hispanic,Both Combined,All Combined,0,627182,9314825,6733.159
2011,Hispanic,Both Combined,All Combined,0,563038,9571664,5882.342
2012,Hispanic,Both Combined,All Combined,0,554695,9752076,5687.968
2013,Hispanic,Both Combined,All Combined,0,546670,9955558,5491.104
1980,Hispanic,Both Combined,Felony - Drug,0,9546,2748700,347.2914
1981,Hispanic,Both Combined,Felony - Drug,0,10629,2958595.82,359.2583
1982,Hispanic,Both Combined,Felony - Drug,0,13608,3168491.586,429.4788
1983,Hispanic,Both Combined,Felony - Drug,0,19074,3378387.414,564.5889
1984,Hispanic,Both Combined,Felony - Drug,0,22981,3588283.197,640.4456
1985,Hispanic,Both Combined,Felony - Drug,0,29249,3798179,770.0795
1986,Hispanic,Both Combined,Felony - Drug,0,34338,4008074.836,856.7205
1987,Hispanic,Both Combined,Felony - Drug,0,38541,4217970.609,913.7333
1988,Hispanic,Both Combined,Felony - Drug,0,44323,4427866.398,1001.001
1989,Hispanic,Both Combined,Felony - Drug,0,48866,4637762.18,1053.655
1990,Hispanic,Both Combined,Felony - Drug,0,42458,4847658,875.8456
1991,Hispanic,Both Combined,Felony - Drug,0,38836,5053505.793,768.4962
1992,Hispanic,Both Combined,Felony - Drug,0,42916,5259353.602,815.9938
1993,Hispanic,Both Combined,Felony - Drug,0,42472,5465201.402,777.1351
1994,Hispanic,Both Combined,Felony - Drug,0,47211,5671049.199,832.4915
1995,Hispanic,Both Combined,Felony - Drug,0,46250,5876897,786.9799
1996,Hispanic,Both Combined,Felony - Drug,0,44307,6082744.793,728.4047
1997,Hispanic,Both Combined,Felony - Drug,0,47194,6288592.582,750.47
1998,Hispanic,Both Combined,Felony - Drug,0,43676,6494440.426,672.5137
1999,Hispanic,Both Combined,Felony - Drug,0,40206,6700288.211,600.0637
2000,Hispanic,Both Combined,Felony - Drug,0,41053,6906136,594.4424
2001,Hispanic,Both Combined,Felony - Drug,0,41036,7094148,578.4486
2002,Hispanic,Both Combined,Felony - Drug,0,43651,7456387,585.4176
2003,Hispanic,Both Combined,Felony - Drug,0,48181,7668459,628.301
2004,Hispanic,Both Combined,Felony - Drug,0,52277,7813159,669.0892
2005,Hispanic,Both Combined,Felony - Drug,0,57354,7979937,718.7275
2006,Hispanic,Both Combined,Felony - Drug,0,55343,8482177,652.4622
2007,Hispanic,Both Combined,Felony - Drug,0,51308,8640425,593.8134
2008,Hispanic,Both Combined,Felony - Drug,0,44594,8806071,506.4006
2009,Hispanic,Both Combined,Felony - Drug,0,40670,8945234,454.6555
2010,Hispanic,Both Combined,Felony - Drug,0,43599,9314825,468.0603
2011,Hispanic,Both Combined,Felony - Drug,0,41893,9571664,437.6773
2012,Hispanic,Both Combined,Felony - Drug,0,45189,9752076,463.3783
2013,Hispanic,Both Combined,Felony - Drug,0,52199,9955558,524.3202
1980,Hispanic,Both Combined,Felony - Other,0,17971,2748700,653.8
1981,Hispanic,Both Combined,Felony - Other,0,17867,2958595.82,603.9014
1982,Hispanic,Both Combined,Felony - Other,0,17136,3168491.586,540.8252
1983,Hispanic,Both Combined,Felony - Other,0,16748,3378387.414,495.7395
1984,Hispanic,Both Combined,Felony - Other,0,15884,3588283.197,442.6629
1985,Hispanic,Both Combined,Felony - Other,0,15418,3798179,405.9314
1986,Hispanic,Both Combined,Felony - Other,0,16838,4008074.836,420.1019
1987,Hispanic,Both Combined,Felony - Other,0,15931,4217970.609,377.6935
1988,Hispanic,Both Combined,Felony - Other,0,17369,4427866.398,392.2657
1989,Hispanic,Both Combined,Felony - Other,0,20586,4637762.18,443.8779
1990,Hispanic,Both Combined,Felony - Other,0,24004,4847658,495.1669
1991,Hispanic,Both Combined,Felony - Other,0,24087,5053505.793,476.6394
1992,Hispanic,Both Combined,Felony - Other,0,25924,5259353.602,492.9123
1993,Hispanic,Both Combined,Felony - Other,0,27355,5465201.402,500.5305
1994,Hispanic,Both Combined,Felony - Other,0,28405,5671049.199,500.8773
1995,Hispanic,Both Combined,Felony - Other,0,30605,5876897,520.768
1996,Hispanic,Both Combined,Felony - Other,0,31515,6082744.793,518.1049
1997,Hispanic,Both Combined,Felony - Other,0,34347,6288592.582,546.1794
1998,Hispanic,Both Combined,Felony - Other,0,35648,6494440.426,548.9003
1999,Hispanic,Both Combined,Felony - Other,0,34856,6700288.211,520.2164
2000,Hispanic,Both Combined,Felony - Other,0,36935,6906136,534.8143
2001,Hispanic,Both Combined,Felony - Other,0,40228,7094148,567.059
2002,Hispanic,Both Combined,Felony - Other,0,43910,7456387,588.8911
2003,Hispanic,Both Combined,Felony - Other,0,46602,7668459,607.7101
2004,Hispanic,Both Combined,Felony - Other,0,50033,7813159,640.3684
2005,Hispanic,Both Combined,Felony - Other,0,55077,7979937,690.1934
2006,Hispanic,Both Combined,Felony - Other,0,58048,8482177,684.3526
2007,Hispanic,Both Combined,Felony - Other,0,61305,8640425,709.5137
2008,Hispanic,Both Combined,Felony - Other,0,60160,8806071,683.165
2009,Hispanic,Both Combined,Felony - Other,0,55448,8945234,619.8608
2010,Hispanic,Both Combined,Felony - Other,0,50052,9314825,537.337
2011,Hispanic,Both Combined,Felony - Other,0,50240,9571664,524.8826
2012,Hispanic,Both Combined,Felony - Other,0,53453,9752076,548.1192
2013,Hispanic,Both Combined,Felony - Other,0,53114,9955558,533.511
1980,Hispanic,Both Combined,Felony - Property,0,27211,2748700,989.9589
1981,Hispanic,Both Combined,Felony - Property,0,30198,2958595.82,1020.687
1982,Hispanic,Both Combined,Felony - Property,0,33017,3168491.586,1042.042
1983,Hispanic,Both Combined,Felony - Property,0,32567,3378387.414,963.9807
1984,Hispanic,Both Combined,Felony - Property,0,32623,3588283.197,909.1534
1985,Hispanic,Both Combined,Felony - Property,0,35572,3798179,936.5541
1986,Hispanic,Both Combined,Felony - Property,0,39335,4008074.836,981.3939
1987,Hispanic,Both Combined,Felony - Property,0,38325,4217970.609,908.6123
1988,Hispanic,Both Combined,Felony - Property,0,41870,4427866.398,945.6022
1989,Hispanic,Both Combined,Felony - Property,0,47966,4637762.18,1034.249
1990,Hispanic,Both Combined,Felony - Property,0,47747,4847658,984.9498
1991,Hispanic,Both Combined,Felony - Property,0,47988,5053505.793,949.5982
1992,Hispanic,Both Combined,Felony - Property,0,50133,5259353.602,953.216
1993,Hispanic,Both Combined,Felony - Property,0,48841,5465201.402,893.6725
1994,Hispanic,Both Combined,Felony - Property,0,45708,5671049.199,805.9884
1995,Hispanic,Both Combined,Felony - Property,0,43746,5876897,744.3724
1996,Hispanic,Both Combined,Felony - Property,0,40598,6082744.793,667.429
1997,Hispanic,Both Combined,Felony - Property,0,39007,6288592.582,620.2819
